filename,type_a,type_b,type_c,type_d,echo,relative_path
XC1006436 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1006436 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006918 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1006918 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006920 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1006920 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008065 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008065 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008066 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC1008066 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008567 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008567 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008570 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008570 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008575 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008575 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008689 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1008689 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008692 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1008692 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008953 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008953 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008955 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1008955 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008958 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,0,1,0,1,type A\XC1008958 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1009767 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1009767 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1009768 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,1,1,type C\XC1009768 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1010898 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1010898 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1010902 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1010902 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1013534 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,1,0,0,type A\XC1013534 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1013539 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,1,0,0,type A\XC1013539 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1013543 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,0,0,0,type A\XC1013543 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1013548 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,0,0,0,0,type A\XC1013548 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1014669 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1014669 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1014671 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,0,type C\XC1014671 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1014672 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1014672 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1014673 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1014673 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1014674 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1014674 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1015588 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1015588 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1015594 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1015594 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1015597 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1015597 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016856 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016856 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016857 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016857 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016859 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016859 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016860 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016860 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016897 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016897 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016898 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016898 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1016900 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1016900 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017054 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017054 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017104 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017104 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017107 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017107 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017108 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017108 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017109 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017109 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1017412 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1017412 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1025256 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC1025256 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1029741 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1029741 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031066 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031066 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031072 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031072 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031074 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031074 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031414 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031414 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031435 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031435 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031440 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031440 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031442 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031442 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1031443 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1031443 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1033435 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC1033435 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1036934 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1036934 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1036943 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1036943 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1039166 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC1039166 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1042785 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1042785 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1044707 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC1044707 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1044708 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC1044708 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1044709 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC1044709 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1048077 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC1048077 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC805694 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC805694 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC806350 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC806350 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC807809 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC807809 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC816644 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC816644 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC822428 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC822428 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC823072 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,0,type D\XC823072 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC834236 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC834236 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC834242 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC834242 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC844473 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC844473 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC844474 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC844474 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC844475 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC844475 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC844476 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC844476 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC844477 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC844477 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC904258 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC904258 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC904267 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC904267 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC905754 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC905754 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911022 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC911022 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911024 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC911024 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911327 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC911327 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911329 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC911329 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911624 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC911624 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911704 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC911704 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911706 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,0,0,1,type A\XC911706 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911707 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC911707 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911722 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC911722 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911738 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC911738 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911742 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC911742 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911791 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC911791 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911794 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC911794 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911796 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC911796 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911797 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC911797 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC911804 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC911804 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC912063 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC912063 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC912090 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC912090 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913224 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913224 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913225 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,0,0,0,type A\XC913225 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913226 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913226 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913227 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC913227 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913228 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,1,0,0,type A\XC913228 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913229 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,0,0,0,type A\XC913229 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913230 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913230 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913231 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,1,0,0,0,type A\XC913231 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913232 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,0,type C\XC913232 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913233 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913233 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913235 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913235 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913236 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC913236 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913238 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913238 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913239 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913239 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913241 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,0,1,0,1,type A\XC913241 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913242 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC913242 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913244 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC913244 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913245 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC913245 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913247 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,0,1,0,0,type A\XC913247 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913292 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC913292 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913294 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913294 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913296 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913296 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913297 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC913297 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913612 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,1,1,type C\XC913612 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC913914 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC913914 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914381 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC914381 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914551 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,type D\XC914551 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914851 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC914851 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914852 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC914852 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914874 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC914874 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914875 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC914875 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914876 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC914876 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914877 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,0,type B\XC914877 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC914901 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,0,1,Echolocation\XC914901 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915120 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC915120 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915126 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC915126 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915127 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC915127 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915130 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC915130 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915131 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC915131 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915341 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC915341 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915342 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC915342 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915347 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC915347 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC915766 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC915766 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC916039 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC916039 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC916881 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,0,type B\XC916881 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC916882 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC916882 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC916883 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,type B\XC916883 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC917041 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC917041 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC917042 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC917042 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC917050 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC917050 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC917051 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,type B\XC917051 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC917053 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,type C\XC917053 - Common Pipistrelle - Pipistrellus pipistrellus.wav
